DS_DATA_CURTA,HR_HORA,HORA,MINUTOS,PERÍODO,DS_RODOVIA,DS_MUNICIPIO_OCORRENCIA,SG_UF_LOCAL_OCORRENCIA,REGIÃO_OCORRENCIA,DS_TIPO_ENQTO,DS_COMPLEMENTO,CARGA_PADRÃO,QTDE OCORRÊNCIAS,,,
02/01/24,12,0.5,720,Tarde,101,MESSIAS,AL,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
02/01/24,22,0.916666667,1320,Noite,381,JOAO MONLEVADE,MG,Sudeste,Furto,de Carga de Gado/Outros Animais,Gado/Outros Animais,1,,,
03/01/24,5,0.208333333,300,Noite,262,LUZ,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
03/01/24,5,0.208333333,300,Noite,040,CAPIM BRANCO,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
03/01/24,9,0.375,540,Manhã,Não Informado,BETIM,MG,Sudeste,Roubo,de Carga de Bebidas,Bebidas,1,,,
04/01/24,23,0.958333333,1380,Noite,101,ESPLANADA,BA,Nordeste,Roubo,De Carga de Alimentos,Alimentos,1,,,
04/01/24,6,0.25,360,Manhã,153,HIDROLANDIA,GO,Centro-Oeste,Furto,de Carga de Bebidas,Bebidas,1,,,
04/01/24,2,0.083333333,120,Noite,Não Informado,ESMERALDAS,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
04/01/24,0,0,0,Noite,040,ITABIRITO,MG,Sudeste,Furto,de Carga de Bebidas,Bebidas,1,,,
04/01/24,13,0.541666667,780,Tarde,381,JOAO MONLEVADE,MG,Sudeste,Furto,Saque de Carga,Saque de Carga,1,,,
04/01/24,15,0.625,900,Tarde,376,MAUA DA SERRA,PR,Sul,Roubo,De Carga de Alimentos,Alimentos,1,,,
04/01/24,21,0.875,1260,Noite,101,CAMPOS DOS GOYTACAZES,RJ,Sudeste,Roubo,De Carga de Valores,Valores,1,,,
05/01/24,3,0.125,180,Noite,153,HIDROLANDIA,GO,Centro-Oeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
05/01/24,17,0.708333333,1020,Tarde,452,ITUMBIARA,GO,Centro-Oeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
05/01/24,7,0.291666667,420,Manhã,381,BETIM,MG,Sudeste,Roubo,De Carga de Combustíveis,Combustíveis,1,,,
05/01/24,5,0.208333333,300,Noite,101,SANTA LUZIA DO ITANHY,SE,Nordeste,Furto,Saque de Carga,Saque de Carga,1,,,
06/01/24,3,0.125,180,Noite,040,FELIXLANDIA,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
